B435,eB435,V606,eV606,I814,eI814,Y105,eY105,J125,eJ125,JH140,eJH140,H160,eH160,bright_mag,bright_magerr,stel,fwhm,area,zmax,label
27.8132,0.4524,29.7145,1.1292,28.2517,0.5646,27.0857,0.267,27.6025,0.2824,99.0,27.7562,26.1761,0.0761,26.2579,29.0243,0.36,0.704,3.0,9.859,spike
30.5422,1.3479,-99.0,0.0,29.5812,0.7566,28.2417,0.3049,28.4273,0.249,28.9403,0.8365,28.7169,0.2907,28.6671,29.4648,0.43,0.341,2.0,5.584,spike
99.0,29.198,99.0,29.715,99.0,29.3959,28.2094,0.3981,27.6213,0.1773,27.8538,0.5332,27.7652,0.1818,27.8333,29.4989,0.35,0.0,1.0,6.83,not_spike
99.0,29.5745,99.0,30.0471,99.0,29.629,29.6981,0.9664,27.8866,0.181,28.5043,0.7355,28.1517,0.2073,28.1039,29.7398,0.37,0.397,2.0,7.954,not_spike
99.0,28.7289,99.0,29.2481,30.2816,1.6942,27.2674,0.2913,26.9167,0.1516,27.302,0.5242,26.4894,0.0962,26.595,29.0728,0.77,0.372,15.0,7.229,not_spike
99.0,28.9002,99.0,29.4455,99.0,29.0452,29.315,1.0515,26.854,0.1198,28.4372,0.9658,27.7476,0.2339,26.9886,29.1867,0.03,0.749,2.0,8.14,not_spike
99.0,28.6409,99.0,29.1493,99.0,28.7782,27.6973,0.4257,26.4018,0.1027,26.1276,0.2162,26.1687,0.0762,26.2507,29.0146,0.0,0.451,24.0,8.238,not_spike
99.0,29.1685,29.9016,0.8667,28.5545,0.461,26.4099,0.144,26.8365,0.3293,26.3071,0.1967,26.5726,0.1511,26.5474,28.0622,0.11,0.331,30.0,6.47,not_spike
28.5412,0.4777,99.0,29.7283,30.3228,1.3539,27.4078,0.2165,28.3152,0.3217,99.0,28.3473,27.8261,0.1968,27.6786,29.0482,0.36,0.0,0.0,6.53,spike
99.0,28.4525,28.7031,0.6294,99.0,28.5497,26.5807,0.1979,27.2424,0.2421,99.0,27.6254,26.0074,0.0759,26.089,28.8583,0.43,0.353,2.0,7.079,spike
